mp,exp,hs,hd,hp
1.5998582672346298,37.18937217381642,4.3852822223991295,0.43204285434463785,56.39344448220517
2.316156016803055,45.67996726527622,5.6340162700217045,3.028594658847758,43.34126578905126
7.989155121791411,46.94599690666536,6.294991490351539,4.769324956627949,34.00053152456374
13.299399238177523,45.0349536051299,6.770022284649812,4.152639560512373,30.74298531153039
18.85335832704523,41.305967103764985,6.883715026778401,3.83185584603406,29.125103696377323
22.37068202479485,38.177298490572454,7.07197233458475,3.5302057033930474,28.849841446654896
23.6896219735026,36.32726102118258,7.116281439319808,3.7139885743116463,29.152846991683372
24.936747939396806,35.61239682750219,6.963412458398042,3.780144093613828,28.70729868108913
26.193791669743455,34.98162214903292,6.742617313888473,4.1928625966051225,27.88910627073003
26.92414059119051,34.440312740594514,6.712728313453255,4.574610835966472,27.34820751879525
27.278224569247485,33.9074398672205,7.0294470734420615,4.715974922199803,27.068913567890164
27.094738480449244,33.6261752786717,7.683179285295028,4.77518735844598,26.82071959713806
26.722538374245048,33.36541321696984,8.681519525796336,4.714383017143186,26.51614586584559
26.297294525179794,33.47574088267976,9.418351845384063,4.72741404469547,26.08119870206092
25.724070016244323,33.89079665438623,10.1013593836183,4.7696511562899815,25.51412278946117
25.115996605100104,34.30733181650237,10.820613028912666,4.834452500409134,24.921606049075727
24.688935743922613,34.55369629350476,11.551100642172047,4.784011069338948,24.422256251061633
24.361411877385997,34.61749996184974,12.297562765486834,4.715989768588004,24.007535626689435
24.118545301534642,34.68387912303877,12.857251008212348,4.653568702094989,23.686755865119252
23.919990613099227,34.76674583948653,13.253593612687586,4.609912560026614,23.449757374700038
